feelings_life,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male,age
8,No,Not a visible minority,Living common-law,3,3,3,3,1,2,1,28
5,Yes,Not a visible minority,"Single, never married",1,2,2,1,1,2,1,25.2
10,No,Not a visible minority,"Single, never married",1,5,5,1,1,3,1,15.7
6,No,Not a visible minority,"Single, never married",5,4,3,2,2,2,0,40.3
10,No,Not a visible minority,Living common-law,4,4,4,4,2,0,0,26.8
8,No,Not a visible minority,"Single, never married",6,3,3,4,4,2,0,33.8
9,No,Not a visible minority,Living common-law,6,5,5,6,4,0,1,39.1
8,No,Not a visible minority,"Single, never married",6,4,4,4,4,0,1,49.4
7,Yes,Not a visible minority,"Single, never married",1,3,4,6,1,2,1,16.3
8,No,Not a visible minority,Living common-law,6,3,4,6,2,0,0,40.7
8,No,Not a visible minority,"Single, never married",1,5,5,1,1,3,1,16.8
5,No,Not a visible minority,"Single, never married",1,5,4,6,1,0,1,18.6
9,No,Not a visible minority,Living common-law,5,5,5,5,3,0,0,37
8,No,Visible minority,"Single, never married",3,3,3,2,2,3,0,27.3
10,No,Not a visible minority,Married,6,5,5,5,3,0,1,68.9
7,No,Not a visible minority,"Single, never married",6,3,4,3,3,2,1,34.5
8,No,Not a visible minority,Living common-law,4,1,3,5,5,0,1,36.2
8,Yes,Not a visible minority,Living common-law,2,2,1,4,1,0,0,26.8
9,No,Not a visible minority,Separated,7,5,5,5,5,0,0,47.5
7,No,Not a visible minority,Separated,3,1,5,4,4,0,1,46.6
10,No,Not a visible minority,Married,3,5,4,4,2,0,0,37
8,No,Not a visible minority,Living common-law,3,5,5,5,3,0,0,42.3
6,No,Not a visible minority,Divorced,2,3,5,2,2,0,1,44.3
10,No,Not a visible minority,"Single, never married",2,4,4,1,1,2,0,26.7
10,No,Not a visible minority,Married,2,3,4,1,1,2,0,24.1
10,No,Visible minority,Married,3,5,5,6,2,0,1,41.1
8,No,Not a visible minority,"Single, never married",6,5,4,6,1,0,0,26.1
9,No,Not a visible minority,Living common-law,6,4,4,4,2,2,0,31.5
8,No,Not a visible minority,"Single, never married",1,4,4,4,1,2,0,16.4
7,No,Don't know,Separated,6,3,4,4,4,2,1,41.7
8,No,Not a visible minority,"Single, never married",1,3,3,5,1,2,1,17.1
7,No,Not a visible minority,Married,2,3,3,5,4,0,1,41.1
7,No,Visible minority,"Single, never married",7,3,3,3,3,2,1,29.8
10,No,Not a visible minority,Married,2,4,5,5,2,0,0,33
8,No,Not a visible minority,Living common-law,3,4,4,2,1,2,1,25.3
8,No,Not a visible minority,Married,7,4,4,6,4,0,1,55.8
7,No,Not a visible minority,Married,7,3,4,6,6,0,0,41.4
7,No,Not a visible minority,Married,3,4,4,4,3,2,0,29.3
8,No,Not a visible minority,Living common-law,3,3,4,4,3,0,1,47.3
9,No,Not a visible minority,Divorced,2,2,2,2,2,0,0,35.9
10,No,Not a visible minority,Married,6,5,5,4,3,0,1,45
9,No,Not a visible minority,Married,3,3,3,4,4,0,1,70.8
9,No,Not a visible minority,Married,3,5,4,6,4,0,0,36.5
8,No,Not a visible minority,Living common-law,5,3,4,4,3,0,1,39.6
9,No,Not a visible minority,Married,5,5,5,6,1,2,1,30.8
8,No,Not a visible minority,Separated,6,5,4,2,2,0,1,30.9
8,No,Not a visible minority,Married,3,4,4,5,2,2,0,33.3
7,Yes,Not a visible minority,"Single, never married",7,3,3,6,4,0,0,41.3
8,No,Not a visible minority,"Single, never married",1,4,3,6,1,2,0,18.3
7,No,Not a visible minority,Married,6,4,3,6,4,2,1,40.4
8,No,Not a visible minority,Living common-law,6,4,5,5,3,0,0,48.9
6,Yes,Not a visible minority,"Single, never married",2,3,4,6,1,1,1,33.1
4,Yes,Not a visible minority,"Single, never married",2,3,1,1,1,1,0,25.8
10,No,Not a visible minority,Living common-law,3,3,5,4,1,0,0,39.3
6,No,Not a visible minority,"Single, never married",3,1,3,2,2,3,0,31.8
10,No,Not a visible minority,Living common-law,7,4,5,6,5,0,1,43.9
9,No,Not a visible minority,"Single, never married",1,5,4,6,1,2,0,16.7
5,No,Not a visible minority,"Single, never married",6,3,3,2,2,0,1,47.3
5,Yes,Not a visible minority,"Single, never married",2,3,1,2,1,0,0,20.3
9,No,Not a visible minority,Living common-law,6,5,5,6,4,2,0,31.6
10,No,Visible minority,"Single, never married",3,4,5,1,1,3,0,24.3
9,No,Not a visible minority,"Single, never married",3,3,4,2,2,2,0,36.4
